Collecte;Combinations;
ATESIS;ATESISBIO,ATESISCS,ATESISDIB,ATESISBIODIBCS,ATESISDIBCS,ATESISDIBBIO,ATESISCSBIO;
BRANGEON;BRANGEONDIBCSBIO,BRANGEONBIO,BRANGEONBIODIB,BRANGEONDIBBIO,BRANGEONBIOCS,BRANGEONCSBIO, BRANGEONDIB, BRANGEONCS;
COLLECTEA;COLLECTEABIO,COLLECTEACS,COLLECTEADIB,COLLECTEABIODIBCS,COLLECTEADIBCS,COLLECTEADIBBIO,COLLECTEACSBIO;
COLLECTIVITE;COLLECTIVITEBIO,COLLECTIVITECS,COLLECTIVITEDIB,COLLECTIVITEBIODIBCS,COLLECTIVITEDIBCS,COLLECTIVITEDIBBIO,COLLECTIVITECSBIO;
COMMUNAUTE DE COMMUNE PARTHENAY GATINE;CCPARTHENAYGATINE;
CLER VERTS;CLERVERTSBIO;
COMPOST IN SITU ;COMPOSTINSITUBIO,COMPOSTINSITUCS,COMPOSTINSITUDIB,COMPOSTINSITUBIODIBCS,COMPOSTINSITUDIBCS,COMPOSTINSITUDIBBIO,COMPOSTINSITUCSBIO;
DERICHEBOURG;DERICHEBOURGDIB,DERICHEBOURGCS;
DURR RECYCLAGE;DURRRECYCLAGEBIO,DURRRECYCLAGECS,DURRRECYCLAGEDIB,DURRRECYCLAGEBIODIBCS,DURRRECYCLAGEDIBCS,DURRRECYCLAGEDIBBIO,DURRRECYCLAGECSBIO,DURRBIODIB,DURRRECYCLAGEBIODIB;
ELISE;ELISEBIO,ELISECS,ELISEDIB,ELISEBIODIBCS,ELISEDIBCS,ELISEDIBBIO,ELISECSBIO,ELISECSDIB;
EXCOFFIER;EXCOFFIERBIO,EXCOFFIERCS,EXCOFFIERDIB,EXCOFFIERBIODIBCS,EXCOFFIERDIBCS,EXCOFFIERDIBBIO,EXCOFFIERCSBIO,EXCOFFIERDIBCSBIO;
GREENWISHES;GREENWISHESCS,GREENWISHESDIB,GREENWISHESBIO;
HNS;HNS,HNSDIB;
MAIRIE DE PARIS;MAIRIEDEPARISDIB;
MONTBELIARD AGGLOMERATION;CCAGGLOMONTBELIARD;
OLYGEO;OLYGEOBIO,OLYGEOCS,OLYGEODIB,OLYGEOBIODIBCS,OLYGEODIBCS,OLYGEODIBBIO,OLYGEOCSBIO;
ORTEC;ORTECBIO,ORTECCS,ORTECDIB,ORTECBIODIBCS,ORTECDIBCS,ORTECDIBBIO,ORTECCSBIO;
PAPREC;PAPRECCS,PAPRECDIB,COVEDDIB,PAPRECDIBCS,COVEDCS,COVEDDIBCS,PAPRECBIOCS,PAPRECCSDIB,PAPRECDIBCSBIO,COVEDDIBCSBIO,PAPRECBIO, PAPRECDIBBIO,PAPRECCSBIO;
RECYCLEURS BRETONS;RECYCLEURSBRETONSBIO,RECYCLEURSBRETONSCS,RECYCLEURSBRETONSDIB,RECYCLEURSBRETONSBIODIBCS,RECYCLEURSBRETONSDIBCS,RECYCLEURSBRETONSDIBBIO,RECYCLEURSBRETONSCSBIO,RECYCLEURSBRETONSDIBCSBIO,RECYCLEURSBRETONSDIBBIOCS;
RECYGO;RECYGOBIO,RECYGOCS,RECYGODIB,RECYGOBIODIBCS,RECYGODIBCS,RECYGODIBBIO,RECYGOCSBIO;
REFOOD;REFOOD,REFOODBIO,REFOODDIB;
LOCA RECUPER;LOCARECUPERDIBCS,LOCARECUPERDIB;
SCHROLL;SCHROLLCS,SCHROLLDIB,SCHROLLDIBCS,SCHROLLBIO,SCHROLLDIBCSBIO,SCHROLLDIBCSBIO;SCHROLLDIB
SILIM;SILIMDIB;
SECHE ;SECHEBIO,SECHECS,SECHEDIB,SECHEBIODIBCS,SECHEDIBCS,SECHEDIBBIO,SECHECSBIO;
SUEZ;SUEZDIBBIO,SUEZBIO,SUEZDIBCS,SUEZDIB,SUEZDIBBIOCS,SUEZBIODIB,SUEZBIODIBCS,SUEZDIBCSBIO,SUEZBIOCSDIB,SUEZCSBIO,SUEZDIBCARTON,SUEZDIBCSCARTON,SUEZDIBCARTONBIO;
SYCODEM SUD VENDEE;SYCODEMSUDVENDEE;
SYNDICAT MIXTE A LA CARTE;SMCHVSSG;
TRIALP;TRIALPBIO,TRIALPDIB;
TEIL;TEILBIO,TEILCS,TEILDIB,TEILBIODIBCS,TEILDIBCS,TEILDIBBIO,TEILCSBIO;
TRANSMETAUX;TRANSMETAUXBIO,TRANSMETAUXCS,TRANSMETAUXDIB;
THOUARSAIS;THOUARSAISCCDIBCS;
TRANSPANEZE;TRANSPLANEZEBIO,TRANSPLANEZECS,TRANSPLANEZEDIB,TRANSPLANEZEBIODIBCS,TRANSPLANEZEDIBCS,TRANSPLANEZEDIBBIO,TRANSPLANEZECSBIO;
VANHEEDE;VANHEEDEBIODIB,VANHEEBIODIB,VANHEEDEBIO,VANHEEDEBIODIBCS,VANHEEDEBIOCSDIB,VANHEEDEDIB,VANHEEDEBIO,VANHEEDEBIODIB, VANHEEDEDIBCSBIO,VANHEEDEDIBCS,VANHEEDEDIBBIO,VANHEEDECSBIO,VANHEEDECS;
VEOLIA;VEOLIADIB,VEOLIACS,VEOLIADIBCS,VEOLIADIBCSBIO,VEOLIABIO,VEOLIADIBBIO,VEOLIABIOCS,VEOLIABIODIB,VEOLIABIODIBCS,VEOLIACSBIO,VEOLIACSBIODIB;
BIOVARE;BIOVAREBIO;
CLERVERT;CLERVERTBIO;
NICOLLIN;NICOLLINDIB,NICOLLINCS,NICOLLINBIO,NICOLLINDIBCSBIO,NICOLLINDIBCS,NICOLLINDIBBIO,NICOLLINCSBIO;
OCEAN;OCEANDIB,OCEANDIBCSBIO,OCEANDIBBIO,OCEANCS,OCEANBIO,OCEANCSBIO;
REMONDIS;REMONDISDIBCSBIO,REMONDISDIB,REMONDISCS,REMONDISBIO,REMONDISDIBBIO,REMONDISDIBCS;
AZURA;AZURADIB,AZURACS,AZURABIO,AZURADIBBIOCS,AZURADIBCS,AZURADIBBIO,AZURACSBIO;
PIZZORNO;PIZZORNODIB,PIZZORNOCS,PIZZORNOBIO,PIZZORNODIBCSBIO,PIZZORNODIBCS,PIZZORNODIBBIO,PIZZORNOCSBIO;
ALCHEMISTES;ALCHEMISTESBIO,ALCHIMISTEBIO;
BAUDELET;BAUDELETDIB,BAUDELETCS,BAUDELETBIO,BAUDELETDIBCSBIO,BAUDELETDIBCS,BAUDELETDIBBIO,BAUDELETCSBIO;
SEPUR;SEPURDIB,SEPURCS,SEPURBIO,SEPURDIBCSBIO,SEPURDIBCS,SEPURDIBBIO,SEPURCSBIO;
ABCDE;ABCDEBIO;
APAG;APAGBIO;
DURR;DURRDIB,DURRCS,DURRBIO,DURRDIBCSBIO,DURRDIBBIO,DURRCSBIO,DURRDIBCS,DURRRECYCLAGEBIO,DURRRECYCLAGECS,DURRRECYCLAGEDIB,DURRRECYCLAGEBIODIBCS,DURRRECYCLAGEDIBCS,DURRRECYCLAGEDIBBIO,DURRRECYCLAGECSBIO,DURRBIODIB,DURRRECYCLAGEBIODIB;
ROVALTERRE;ROVALTERREBIO;
THEYS;THEYSDIB,THEYSCS,THEYSBIO,THEYSDIBCSBIO,THEYSDIBBIO,THEYSDIBCS;
CITRAVAL;CITRAVALDIB,CITRAVALCS,CITRAVALBIO,CITRAVALDIBCSBIO,CITRAVALDIBCS,CITRAVALDIBBIO,CITRAVALCSBIO;
BM;BMDIB,BMBIO,BMCS,BMDIBCSBIO,BMDIBBIO,BMDIBCS,BMCSBIO;
